,away_score,home_score,id,match,stage,time_x,weather,y,year,NHK,NHK_2,mean,temperature-humidity,アビスパ福岡,アルビレックス新潟,カターレ富山,カマタマーレ讃岐,ガイナーレ鳥取,ガンバ大阪,ギラヴァンツ北九州,コンサドーレ札幌,サガン鳥栖,サンフレッチェ広島,ザスパクサツ群馬,ザスパ草津,ジェフユナイテッド千葉,ジュビロ磐田,セレッソ大阪,ファジアーノ岡山,ベガルタ仙台,モンテディオ山形,ロアッソ熊本,ヴァンフォーレ甲府,ヴィッセル神戸,京都サンガF.C.,名古屋グランパス,大分トリニータ,大宮アルディージャ,川崎フロンターレ,徳島ヴォルティス,愛媛ＦＣ,東京ヴェルディ,松本山雅ＦＣ,柏レイソル,栃木ＳＣ,横浜Ｆ・マリノス,横浜ＦＣ,水戸ホーリーホック,浦和レッズ,清水エスパルス,湘南ベルマーレ,鹿島アントラーズ,ＦＣ岐阜,ＦＣ東京,ＦＣ町田ゼルビア,Ｖ・ファーレン長崎,month,day,n_tv,bus,time_y,w_cup_home,w_cup_away,hokkaido,tokyo,nagoya,osaka,fukuoka
0,0,1,13994,1,0,28,7346.0,18250.0,2012,1,1,0.7773582148332908,42.42292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,4,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
1,1,4,14012,3,0,26,8035.0,11831.0,2012,0,0,0.7773582148332908,50.38027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
2,2,2,14031,5,0,28,8035.0,13147.0,2012,0,1,0.7773582148332908,46.86267,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
3,0,4,14055,7,0,38,9231.5,17192.0,2012,0,1,0.7773582148332908,52.5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,4,0,6,0,4,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
4,1,0,14075,10,0,26,8035.0,18525.0,2012,0,1,0.7773582148332908,61.64207999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,6,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
5,0,4,14099,12,0,37,9231.5,16317.0,2012,0,0,0.7773582148332908,63.75287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
6,1,4,14111,14,0,27,7346.0,13554.0,2012,0,0,0.7773582148332908,65.9191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
7,2,2,14130,16,0,37,9231.5,18722.0,2012,0,0,0.7773582148332908,66.47952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,6,0,3,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
8,1,1,14158,19,0,37,9231.5,14611.0,2012,0,0,0.7773582148332908,78.81472,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
9,2,2,14166,20,0,37,8035.0,17935.0,2012,0,0,0.7773582148332908,76.91884999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,3,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
10,0,0,14185,22,0,38,8035.0,17715.0,2012,0,0,0.7773582148332908,78.69366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
11,1,2,14204,24,0,38,8035.0,17159.0,2012,0,0,0.7773582148332908,77.03443999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
12,1,2,14220,26,0,31,9231.5,15509.0,2012,0,1,0.7773582148332908,71.04688999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
13,1,2,14242,28,0,38,8035.0,18003.0,2012,0,1,0.7773582148332908,67.18704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
14,2,3,14247,29,0,26,9231.5,17711.0,2012,0,0,0.7773582148332908,64.43263999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,5,2,0,6,0,3,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
15,1,1,14264,31,0,38,8035.0,17493.0,2012,0,0,0.7773582148332908,55.74004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
16,1,0,14283,33,0,29,9231.5,18526.0,2012,0,1,0.7773582148332908,49.1426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
17,1,1,14836,1,0,28,8035.0,16353.0,2013,0,1,0.7773582148332908,46.30042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
18,1,2,14854,3,0,28,8035.0,13232.0,2013,1,1,0.7773582148332908,58.51331999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
19,1,0,14872,5,0,28,8035.0,12883.0,2013,0,0,0.7773582148332908,57.02502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
20,1,2,14882,6,0,28,9231.5,13655.0,2013,0,0,0.7773582148332908,54.66302999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,2,0,6,0,4,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
21,1,1,14907,8,0,32,9231.5,14359.0,2013,0,1,0.7773582148332908,58.0626,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
22,1,2,14927,11,0,28,7346.0,14327.0,2013,0,0,0.7773582148332908,59.81688000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
23,0,0,14955,14,0,38,8035.0,13470.0,2013,0,0,0.7773582148332908,75.82048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
24,1,1,14973,16,0,38,8035.0,14318.0,2013,0,0,0.7773582148332908,69.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
25,2,0,14980,17,0,38,7346.0,11755.0,2013,0,0,0.7773582148332908,67.52114999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
26,1,2,15000,19,0,38,9231.5,14365.0,2013,0,1,0.7773582148332908,71.81484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
27,1,2,15009,20,0,38,9231.5,17892.0,2013,0,0,0.7773582148332908,80.00276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,5,2,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
28,1,1,15034,23,0,38,9231.5,15101.0,2013,0,0,0.7773582148332908,69.54925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
29,0,6,15058,25,0,38,9231.5,13411.0,2013,0,0,0.7773582148332908,75.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
30,0,0,15075,27,0,26,9231.5,17849.0,2013,0,0,0.7773582148332908,66.74404999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,5,2,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
31,1,2,15088,29,0,28,8035.0,15178.0,2013,0,0,0.7773582148332908,62.2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
32,2,1,15124,33,0,34,9231.5,17394.0,2013,0,1,0.7773582148332908,47.10884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,5,3,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
33,2,1,15668,1,0,28,8035.0,15852.0,2014,0,1,0.7773582148332908,53.5539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
34,0,0,15693,3,0,34,8035.0,13380.0,2014,0,0,0.7773582148332908,45.669959999999996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
35,1,1,15706,5,0,28,9231.5,11144.0,2014,0,0,0.7773582148332908,65.65697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
36,3,0,15732,8,0,28,8035.0,11413.0,2014,0,0,0.7773582148332908,48.3587,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
37,0,0,15755,10,0,32,8035.0,13040.0,2014,0,0,0.7773582148332908,54.402409999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
38,3,4,15768,12,0,26,9231.5,12945.0,2014,0,0,0.7773582148332908,60.62944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
39,0,1,15793,14,0,26,9231.5,18863.0,2014,0,1,0.7773582148332908,66.25067999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
40,3,3,15804,16,0,38,8035.0,13302.0,2014,0,0,0.7773582148332908,78.81324000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
41,2,2,15822,18,0,38,9231.5,,2014,0,0,0.7773582148332908,77.47219999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
42,2,3,15840,20,0,38,8035.0,,2014,0,0,0.7773582148332908,70.00206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,5,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
