,name,bus,time
0,名古屋市瑞穂陸上競技場,0,11
1,豊田スタジアム,0,19
2,フクダ電子アリーナ,0,14
3,日立柏サッカー場,0,4
4,ニンジニアスタジアム,0,13
5,レベルファイブスタジアム,0,7
6,北九州市立本城陸上競技場,0,3
7,岐阜メモリアルセンター長良川競技場,0,0
8,正田醤油スタジアム群馬,1,0
9,エディオンスタジアム広島,1,13
10,札幌ドーム,0,5
11,札幌厚別公園競技場,0,8
12,ノエビアスタジアム神戸,0,7
13,県立カシマサッカースタジアム,1,4
14,ケーズデンキスタジアム水戸,0,10
15,鹿児島県立鴨池陸上競技場 ,0,15
16,等々力陸上競技場,0,8
17,日産スタジアム,0,16
18,ニッパツ三ツ沢球技場,0,6
19,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,0,6
20,うまかな・よかなスタジアム,0,3
21,熊本市水前寺競技場,0,9
22,京都市西京極総合運動公園陸上競技場兼球技場,0,4
23,ユアテックスタジアム仙台,0,6
24,松本平広域公園総合球技場,0,20
25,デンカビッグスワンスタジアム,1,5
26,大分銀行ドーム,0,5
27,シティライトスタジアム,0,1
28,万博記念競技場,1,5
29,キンチョウスタジアム,0,8
30,ヤンマースタジアム長居,0,9
31,ベストアメニティスタジアム,0,5
32,佐賀県総合運動場陸上競技場,0,4
33,埼玉スタジアム２００２,1,22
34,ＮＡＣＫ５スタジアム大宮,0,7
35,ＩＡＩスタジアム日本平,1,14
36,エコパスタジアム,0,20
37,ヤマハスタジアム（磐田）,0,8
38,栃木県グリーンスタジアム,0,11
39,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,0,18
40,味の素スタジアム,0,11
41,町田市立陸上競技場,0,18
42,国立競技場,0,9
43,駒沢オリンピック公園総合運動場陸上競技場,0,14
44,とりぎんバードスタジアム,0,10
45,富山県総合運動公園陸上競技場,0,23
46,ＮＤソフトスタジアム山形,0,21
47,山梨中銀スタジアム,0,0
48,熊谷スポーツ文化公園陸上競技場,0,4
49,神戸総合運動公園ユニバー記念競技場,0,7
50,宮城スタジアム,0,14
51,岐阜メモリアルセンター長良川球技メドウ,0,0
52,味の素フィールド西が丘,0,8
53,福島県営あづま陸上競技場,0,23
54,岡山県津山陸上競技場,0,7
55,長崎県立総合運動公園陸上競技場,0,21
56,長崎市総合運動公園かきどまり陸上競技場,0,5
57,大垣市浅中公園総合グラウンド陸上競技場,0,10
58,香川県立丸亀競技場,0,15
