,Unnamed: 0,away,home,id,match,stadium,stage,time,tv,y,year,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11,address,capa,NHK,NHK_2,mean,temperature-humidity,アビスパ福岡,アルビレックス新潟,カターレ富山,カマタマーレ讃岐,ガイナーレ鳥取,ガンバ大阪,ギラヴァンツ北九州,コンサドーレ札幌,サガン鳥栖,サンフレッチェ広島,ザスパクサツ群馬,ザスパ草津,ジェフユナイテッド千葉,ジュビロ磐田,セレッソ大阪,ファジアーノ岡山,ベガルタ仙台,モンテディオ山形,ロアッソ熊本,ヴァンフォーレ甲府,ヴィッセル神戸,京都サンガF.C.,名古屋グランパス,大分トリニータ,大宮アルディージャ,川崎フロンターレ,徳島ヴォルティス,愛媛ＦＣ,東京ヴェルディ,松本山雅ＦＣ,柏レイソル,栃木ＳＣ,横浜Ｆ・マリノス,横浜ＦＣ,水戸ホーリーホック,浦和レッズ,清水エスパルス,湘南ベルマーレ,鹿島アントラーズ,ＦＣ岐阜,ＦＣ東京,ＦＣ町田ゼルビア,Ｖ・ファーレン長崎,month,day,n_tv
0,0,鹿島アントラーズ,ベガルタ仙台,13994,１,ユアテックスタジアム仙台,Ｊ１,28,スカパー／ｅ２／スカパー光／ＮＨＫ総合,18250.0,2012,1,0,雨,3.8,66,木村　博之,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,中田　浩二,アレックス,青木　剛,増田　誓志,小笠原　満男,本山　雅志,大迫　勇也,ジュニーニョ,宮城県仙台市泉区七北田字柳78,19694,1,1,0.7794920173389706,42.42292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,03,5.0,4
1,1,大宮アルディージャ,ベガルタ仙台,14012,３,ユアテックスタジアム仙台,Ｊ１,26,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,11831.0,2012,4,1,曇時々雨,8.9,57,東城　穣,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,柳沢　敦,赤嶺　真吾,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,青木　拓矢,上田　康太,渡邉　大剛,曺　永哲,東　慶悟,ラファエル,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,50.380269999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,5.0,3
2,2,ジュビロ磐田,ベガルタ仙台,14031,５,ユアテックスタジアム仙台,Ｊ１,28,スカパー／ｅ２／スカパー光／ＮＨＫ仙台／ＮＨＫ静岡,13147.0,2012,2,2,曇,6.1,53,吉田　寿光,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾,ジュビロ磐田,八田　直樹,駒野　友一,チョ　ビョングク,藤田　義明,宮崎　智彦,山本　康裕,小林　裕紀,山田　大記,松浦　拓弥,菅沼　実,前田　遼一,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,46.862669999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,5.0,5
3,3,ＦＣ東京,ベガルタ仙台,14055,７,ユアテックスタジアム仙台,Ｊ１,38,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,17192.0,2012,4,0,晴,10.4,55,東城　穣,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,チャン　ヒョンス,太田　宏介,高橋　秀人,米本　拓司,石川　直宏,大竹　洋平,羽生　直剛,渡邉　千真,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,52.5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,04,5.0,4
4,4,清水エスパルス,ベガルタ仙台,14075,１０,ユアテックスタジアム仙台,Ｊ１,26,スカパー／ｅ２／スカパー光／ＮＨＫ仙台,18525.0,2012,0,1,曇のち雨,16.9,68,佐藤　隆治,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,朴　柱成,富田　晋伍,角田　誠,梁　勇基,関口　訓充,太田　吉彰,ウイルソン,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,アレックス,河井　陽介,ジミー　フランサ,大前　元紀,高木　俊幸,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,61.64207999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05,6.0,4
5,5,名古屋グランパス,ベガルタ仙台,14099,１２,ユアテックスタジアム仙台,Ｊ１,37,スカパー／ｅ２／スカパー光,16317.0,2012,4,0,晴,19.1,43,家本　政明,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,関口　訓充,梁　勇基,ウイルソン,赤嶺　真吾,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,田口　泰士,ダニルソン,藤本　淳吾,永井　謙佑,ケネディ,玉田　圭司,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,63.75287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,5.0,3
6,6,コンサドーレ札幌,ベガルタ仙台,14111,１４,ユアテックスタジアム仙台,Ｊ１,27,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ミヤギテレビ,13554.0,2012,4,1,雨,19.1,90,福島　孝一郎,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,柳沢　敦,ウイルソン,コンサドーレ札幌,杉山　哲,日高　拓磨,ジェイド　ノース,岡山　一成,高木　純平,山本　真希,河合　竜二,砂川　誠,近藤　祐介,岡本　賢明,大島　秀夫,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,65.9191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,5.0,4
7,7,サンフレッチェ広島,ベガルタ仙台,14130,１６,ユアテックスタジアム仙台,Ｊ１,37,スカパー／ｅ２／スカパー光,18722.0,2012,2,2,晴,20.4,62,吉田　寿光,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,清水　航平,石原　直樹,髙萩　洋次郎,佐藤　寿人,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,66.47952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,5.0,3
8,8,サガン鳥栖,ベガルタ仙台,14158,１９,ユアテックスタジアム仙台,Ｊ１,37,スカパー／ｅ２／スカパー光,14611.0,2012,1,1,晴,27.6,78,家本　政明,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,朴　柱成,松下　年宏,田村　直也,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,水沼　宏太,岡本　知剛,藤田　直之,金　民友,池田　圭,豊田　陽平,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,78.81472,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07,5.0,3
9,9,横浜Ｆ・マリノス,ベガルタ仙台,14166,２０,ユアテックスタジアム仙台,Ｊ１,37,スカパー／ｅ２／スカパー光,17935.0,2012,2,2,曇,25.9,85,松尾　一,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,内山　俊彦,松下　年宏,田村　直也,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,富澤　清太郎,兵藤　慎剛,中村　俊輔,小野　裕二,マルキーニョス,大黒　将志,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,76.91884999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,08,5.0,3
