,id,match,stage,time_x,y,year,home_score,away_score,capa,NHK,NHK_2,mean,temperature-humidity,アビスパ福岡,アルビレックス新潟,カターレ富山,カマタマーレ讃岐,ガイナーレ鳥取,ガンバ大阪,ギラヴァンツ北九州,コンサドーレ札幌,サガン鳥栖,サンフレッチェ広島,ザスパクサツ群馬,ザスパ草津,ジェフユナイテッド千葉,ジュビロ磐田,セレッソ大阪,ファジアーノ岡山,ベガルタ仙台,モンテディオ山形,ロアッソ熊本,ヴァンフォーレ甲府,ヴィッセル神戸,京都サンガF.C.,名古屋グランパス,大分トリニータ,大宮アルディージャ,川崎フロンターレ,徳島ヴォルティス,愛媛ＦＣ,東京ヴェルディ,松本山雅ＦＣ,柏レイソル,栃木ＳＣ,横浜Ｆ・マリノス,横浜ＦＣ,水戸ホーリーホック,浦和レッズ,清水エスパルス,湘南ベルマーレ,鹿島アントラーズ,ＦＣ岐阜,ＦＣ東京,ＦＣ町田ゼルビア,Ｖ・ファーレン長崎,month,day,n_tv,bus,time_y,home.1,away.1,hokkaido,tokyo,nagoya,osaka,fukuoka
0,13994,1,0,28,18250.0,2012,1,0,19694,1,1,0.7794920173389706,42.42292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5.0,4,0,6,0.0,2.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
1,14012,3,0,26,11831.0,2012,4,1,19694,0,0,0.7794920173389706,50.38027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.0,3,0,6,0.0,0.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
2,14031,5,0,28,13147.0,2012,2,2,19694,0,1,0.7794920173389706,46.86267,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.0,5,0,6,0.0,2.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
3,14055,7,0,38,17192.0,2012,4,0,19694,0,1,0.7794920173389706,52.5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5.0,4,0,6,0.0,4.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
4,14075,10,0,26,18525.0,2012,0,1,19694,0,1,0.7794920173389706,61.64207999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,6.0,4,0,6,0.0,0.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
5,14099,12,0,37,16317.0,2012,4,0,19694,0,0,0.7794920173389706,63.75287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.0,3,0,6,0.0,1.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
6,14111,14,0,27,13554.0,2012,4,1,19694,0,0,0.7794920173389706,65.9191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.0,4,0,6,0.0,0.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
7,14130,16,0,37,18722.0,2012,2,2,19694,0,0,0.7794920173389706,66.47952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.0,3,0,6,0.0,3.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
8,14158,19,0,37,14611.0,2012,1,1,19694,0,0,0.7794920173389706,78.81472,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.0,3,0,6,0.0,0.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
9,14166,20,0,37,17935.0,2012,2,2,19694,0,0,0.7794920173389706,76.91884999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5.0,3,0,6,0.0,1.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
10,14185,22,0,38,17715.0,2012,0,0,19694,0,0,0.7794920173389706,78.69366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5.0,3,0,6,0.0,1.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
11,14204,24,0,38,17159.0,2012,2,1,19694,0,0,0.7794920173389706,77.03443999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5.0,3,0,6,0.0,1.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
12,14220,26,0,31,15509.0,2012,2,1,19694,0,1,0.7794920173389706,71.04688999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,4,0,6,0.0,2.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
13,14242,28,0,38,18003.0,2012,2,1,19694,0,1,0.7794920173389706,67.18704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5.0,3,0,6,0.0,2.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
14,14247,29,0,26,17711.0,2012,3,2,19694,0,0,0.7794920173389706,64.43263999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,5.0,2,0,6,0.0,3.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
15,14264,31,0,38,17493.0,2012,1,1,19694,0,0,0.7794920173389706,55.74004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.0,2,0,6,0.0,0.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
16,14283,33,0,29,18526.0,2012,0,1,19694,0,1,0.7794920173389706,49.1426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5.0,4,0,6,0.0,0.0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083
